Iteration,assSim Calls,Objective Value (real)
1,1,tensor(32.)
2,4,tensor(31.5237)
3,7,tensor(31.0046)
4,10,tensor(30.5710)
5,13,tensor(30.0886)
6,16,tensor(29.5898)
7,19,tensor(29.1305)
8,22,tensor(28.7539)
9,25,tensor(28.2953)
10,28,tensor(27.8311)
11,31,tensor(27.3698)
12,34,tensor(26.9147)
13,37,tensor(26.5271)
14,40,tensor(26.0891)
15,43,tensor(25.6575)
16,46,tensor(25.2306)
17,49,tensor(24.7781)
18,52,tensor(24.3634)
19,55,tensor(23.9399)
20,58,tensor(23.5237)
21,61,tensor(23.1151)
22,64,tensor(22.7178)
23,67,tensor(22.3408)
24,70,tensor(21.9203)
25,73,tensor(21.5303)
26,76,tensor(21.1432)
27,79,tensor(20.7666)
28,82,tensor(20.3839)
29,85,tensor(20.0036)
30,88,tensor(19.6268)
31,91,tensor(19.2436)
32,94,tensor(18.8826)
33,97,tensor(18.5445)
34,100,tensor(18.1686)
35,103,tensor(17.7973)
36,106,tensor(17.4466)
37,109,tensor(17.0970)
38,112,tensor(16.9613)
39,115,tensor(16.5992)
40,118,tensor(16.2506)
41,121,tensor(15.9103)
42,124,tensor(15.5701)
43,127,tensor(15.2465)
44,130,tensor(14.9162)
45,133,tensor(14.5901)
46,136,tensor(14.2701)
47,139,tensor(13.9481)
48,142,tensor(13.6346)
49,145,tensor(13.3343)
50,148,tensor(13.0159)
